"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","QUADRO","SEQ","V9001","V9002","V8000","V9010","V9011","V1904","V1905","DEFLATOR","V8000_DEFLA","V1904_DEFLA","COD_IMPUT_VALOR","FATOR_ANUALIZACAO","PESO","PESO_FINAL","RENDA_TOTAL","V9004"
"9351",35,3516,1,350295920,12,1,10,5,1000601,7,9999999.99,8,11,NA,NA,1.0326134861,251.82,NA,1,1,5066.10347985,6309.49203542,6805.91,NA
"9352",35,3516,1,350111845,5,1,6,0,600101,7,300,NA,NA,NA,NA,0.985219882,295.57,NA,0,12,4077.68236268,5078.47984011,1808.89,NA
"9353",35,3516,1,350111845,5,1,6,1,600201,7,150,NA,NA,NA,NA,1,150,NA,0,12,4077.68236268,5078.47984011,1808.89,NA
"9354",35,3516,1,350514281,3,1,13,4,1300501,7,1200,NA,NA,NA,NA,0.9853520644,1182.42,NA,0,1,3915.13776316,4876.04144536,2701.63,NA
"9355",35,3516,1,350514281,12,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.951405206,97.72,NA,1,12,3915.13776316,4876.04144536,2737.01,NA
"9356",35,3542,2,350587019,11,1,8,1,899901,7,750,NA,NA,NA,NA,1.0255038049,769.13,NA,0,4,391.93669251,488.13085828,27594.5,7508
"9357",35,3542,2,350587019,11,1,10,5,1000601,7,180,8,12,NA,NA,1.0326134861,185.87,NA,0,1,391.93669251,488.13085828,27594.5,NA
"9358",35,3542,2,350587019,14,1,13,1,1300201,8,100,NA,NA,NA,NA,0.9896756431,98.97,NA,0,1,391.93669251,488.13085828,34209.98,NA
"9359",35,3542,2,350113607,6,1,10,5,1000601,7,9999999.99,2,11,NA,NA,0.9971061367,79.75,NA,1,1,868.13586027,1081.20497693,2552.38,NA
"9360",35,3542,2,350113607,15,1,12,3,1200401,7,100,NA,NA,NA,NA,1.0241279832,102.41,NA,0,1,868.13586027,1081.20497693,3287.79,NA
"9361",35,3542,2,350113607,17,1,6,0,600101,7,100,NA,NA,NA,NA,0.946154132,94.62,NA,0,12,868.13586027,1081.20497693,2581.8,NA
"9362",35,3542,2,350113607,17,1,10,0,1000101,7,850,5,6,NA,NA,1.0024889381,852.12,NA,0,1,868.13586027,1081.20497693,2581.8,NA
"9363",35,3542,2,350113607,20,1,6,0,600101,7,140,NA,NA,NA,NA,0.8778955323,122.91,NA,0,12,868.13586027,1081.20497693,1567.91,NA
"9364",35,3542,2,350113607,20,1,10,5,1000601,7,100,2,1,NA,NA,0.9971061367,99.71,NA,0,1,868.13586027,1081.20497693,1567.91,NA
"9365",35,3534,1,350068180,5,1,10,8,1000101,7,9999999.99,11,7,NA,NA,1.011627907,306.74,NA,1,1,5511.7832927,6864.55634484,966.33,NA
"9366",35,3534,1,350068180,11,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.9122724939,188.77,NA,1,12,5511.7832927,6864.55634484,2594.12,NA
"9367",35,3534,1,350068180,11,1,6,1,600201,7,9999999.99,NA,NA,NA,NA,0.9762234146,107.96,NA,1,12,5511.7832927,6864.55634484,2594.12,NA
"9368",35,3534,1,350068180,11,1,10,0,1000101,9,9999999.99,6,12,NA,NA,0.9994485801,498.72,NA,1,1,5511.7832927,6864.55634484,2594.12,NA
"9369",35,3534,1,350484533,5,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.9990953499,99.68,NA,1,12,882.15893407,1098.66977463,3409.51,NA
