"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"19223",27,2710,2,270027444,4,1,2,42,4,4200501,1,310.62711864,412.52445522,1450.29
"19224",27,2710,2,270027444,7,1,4,42,18,4201901,1,310.62711864,412.52445522,2018.54
"19225",27,2710,2,270027444,7,1,4,42,19,4202001,1,310.62711864,412.52445522,2018.54
"19226",27,2710,2,270027444,7,1,4,42,22,4202301,1,310.62711864,412.52445522,2018.54
"19227",27,2710,2,270027444,19,1,1,29,15,2901601,1,310.62711864,412.52445522,691.15
"19228",27,2710,2,270027444,19,1,2,29,25,2902601,1,310.62711864,412.52445522,691.15
"19229",27,2710,2,270027444,19,1,2,42,8,4200901,1,310.62711864,412.52445522,691.15
"19230",27,2710,2,270027444,19,1,2,42,11,4201201,1,310.62711864,412.52445522,691.15
"19231",27,2706,1,270015970,8,1,2,42,1,4200201,1,791.28894668,1050.86137707,1616.93
"19232",27,2706,1,270015970,8,1,2,42,3,4200401,1,791.28894668,1050.86137707,1616.93
"19233",27,2706,1,270015970,3,1,1,42,16,4201701,1,791.28894668,1050.86137707,934.88
"19234",27,2706,1,270015970,3,1,4,29,38,2908001,1,791.28894668,1050.86137707,934.88
"19235",27,2706,1,270015970,3,1,4,29,39,2901201,1,791.28894668,1050.86137707,934.88
"19236",27,2706,1,270015970,3,1,4,29,40,2902601,1,791.28894668,1050.86137707,934.88
"19237",27,2706,1,270015970,3,1,4,42,33,4201702,1,791.28894668,1050.86137707,934.88
"19238",27,2709,2,270017240,1,1,1,29,0,2900101,1,81.41385312,113.39403359,1423.85
"19239",27,2709,2,270017240,1,1,1,42,1,4200201,1,81.41385312,113.39403359,1423.85
"19240",27,2709,2,270017240,1,1,2,42,1,4200201,1,81.41385312,113.39403359,1423.85
"19241",27,2709,2,270017240,2,1,2,42,22,4202301,1,81.41385312,113.39403359,2910.27
"19242",27,2709,2,270017240,5,1,1,42,1,4200201,1,81.41385312,113.39403359,1552.59
"19243",27,2709,2,270017240,5,1,1,42,6,4200701,1,81.41385312,113.39403359,1552.59
"19244",27,2709,2,270017240,5,1,2,29,5,2900601,1,81.41385312,113.39403359,1552.59
"19245",27,2709,2,270017240,5,1,2,42,1,4200201,1,81.41385312,113.39403359,1552.59
"19246",27,2709,2,270017240,7,1,1,42,1,4200201,1,81.41385312,113.39403359,555.99
"19247",27,2709,2,270017240,7,1,1,42,3,4200401,1,81.41385312,113.39403359,555.99
"19248",27,2709,2,270017240,7,1,1,42,7,4200801,1,81.41385312,113.39403359,555.99
"19249",27,2709,2,270017240,7,1,1,42,16,4201701,1,81.41385312,113.39403359,555.99
"19250",27,2709,2,270017240,7,1,2,42,1,4200201,1,81.41385312,113.39403359,555.99
"19251",27,2709,2,270017240,7,1,2,42,3,4200401,1,81.41385312,113.39403359,555.99
"19252",27,2709,2,270017240,8,1,1,42,1,4200201,1,81.41385312,113.39403359,1667.77
"19253",27,2709,2,270017240,8,1,1,42,3,4200401,1,81.41385312,113.39403359,1667.77
"19254",27,2709,2,270017240,8,1,2,42,1,4200201,1,81.41385312,113.39403359,1667.77
"19255",27,2709,2,270017240,8,1,2,42,3,4200401,1,81.41385312,113.39403359,1667.77
"19256",27,2709,2,270017240,9,1,1,42,0,4200101,1,81.41385312,113.39403359,5620.36
"19257",27,2709,2,270017240,10,1,1,42,1,4200201,1,81.41385312,113.39403359,3548.89
"19258",27,2709,2,270017240,10,1,1,42,3,4200401,1,81.41385312,113.39403359,3548.89
"19259",27,2709,2,270017240,10,1,2,42,1,4200201,1,81.41385312,113.39403359,3548.89
"19260",27,2709,2,270017240,10,1,2,42,3,4200401,1,81.41385312,113.39403359,3548.89
"19261",27,2709,2,270017240,10,1,3,42,1,4200201,1,81.41385312,113.39403359,3548.89
"19262",27,2709,2,270017240,10,1,3,42,3,4200401,1,81.41385312,113.39403359,3548.89
"19263",27,2709,2,270017240,11,1,2,29,1,2900201,1,81.41385312,113.39403359,1444.98
"19264",27,2709,2,270017240,13,1,1,42,1,4200201,1,81.41385312,113.39403359,1391.44
"19265",27,2709,2,270017240,13,1,1,42,3,4200401,1,81.41385312,113.39403359,1391.44
"19266",27,2709,2,270017240,13,1,3,42,1,4200201,1,81.41385312,113.39403359,1391.44
"19267",27,2709,2,270017240,13,1,3,42,3,4200401,1,81.41385312,113.39403359,1391.44
"19268",27,2709,2,270017240,14,1,1,42,1,4200201,1,81.41385312,113.39403359,2090.32
"19269",27,2709,2,270017240,14,1,1,42,3,4200401,1,81.41385312,113.39403359,2090.32
"19270",27,2709,2,270017240,15,1,1,42,1,4200201,1,81.41385312,113.39403359,2619.38
"19271",27,2709,2,270017240,15,1,1,42,3,4200401,1,81.41385312,113.39403359,2619.38
